client_id,name,age,occupation,estimated_income,bank_loans,bank_deposits,total_deposits,total_assets
IND81288,"Raymond Mills",24,"Safety Technician IV",75384.77,776243,1485828.64,2709028.48,93062.72
IND65833,"Julia Spencer",23,"Software Consultant",289834.31,1270615,641482.79,1276801.4700000002,307233.23
IND47499,"Stephen Murray",27,"Help Desk Operator",169935.23,1052716,1033401.59,1968202.0599999998,212761.13
IND72498,"Virginia Garza",40,"Geologist II",356808.11,121195,1048157.49,2388513.63,362281.26
IND60181,"Melissa Sanders",46,"Assistant Professor",130711.68,1048302,487782.53,1092789.92,178789.28
IND78532,"Samuel Hudson",23,"Help Desk Technician",118326.96,601903,1307269.41,2306822.33,124355.16
IND95683,"Timothy Alexander",46,"Account Coordinator",57336.47,208910,41200.18,129473.45999999999,71265.63
IND40785,"Carl Martin",78,"Automation Specialist II",65125.8,1140705,156983.13,309666.05000000005,96203.6
IND13570,"Philip Day",67,"Software Test Engineer II",87849.47,803444,1242347.22,1877335.1199999999,97234.82
IND53299,"Jason Sims",51,"Geologist III",65369.36,60028,317246.67,592691.22,92734.16
IND76263,"Amy Martinez",55,"Administrative Officer",74966.51,214328,37979.77,120059.72,91895.23999999999
IND56452,"David Johnston",73,"Database Administrator II",111449.06,580469,749007.94,1490329.4999999998,128929.25
IND28766,"Wayne Foster",45,"Staff Scientist",115637.19,815251,616330.93,969682.93,126485.79000000001
IND17897,"Carlos Moore",44,"Programmer I",124434.78,984793,802862.97,1309483.57,150580.78
IND86325,"Lisa Johnston",36,"Software Test Engineer I",260795.34,310877,116399.86,300650.44,272380.02
IND74197,"Andrew Mills",55,Actuary,78892.52,1510861,317542.21,543879.54,111262.23000000001
IND28503,"Jack Coleman",61,"Staff Accountant II",257120.22,436988,2446251.57,4053679.0599999996,273384.21
IND56539,"Aaron Day",56,"Assistant Media Planner",145704.55,384153,55118.87,155297.13999999998,148782.81999999998
IND53604,"Kevin Weaver",43,"Staff Accountant I",34404.16,1102836,204450.83,352475.45,54072.560000000005
IND32064,"Mary Fox",63,"Compensation Analyst",129060.88,1000409,966281.34,1872776.5999999999,146344.51
IND72934,"Carlos Little",41,"Geologist I",129981.31,373847,38406.8,98881.07,140224.15
IND16101,"Roger Boyd",58,"Web Designer II",123545.42,1400623,547459.74,946348.1000000001,126529.94
IND93121,"Aaron Marshall",26,"Media Manager IV",308182.93,649332,103871.63,327059.28,372515.58999999997
IND93310,"Cheryl Stewart",21,"Accounting Assistant II",122579.41,963018,1115098.09,2216767.5100000002,132891.95
IND71301,"Anne Nguyen",41,"Programmer II",30942.07,276533,132960.52,287491.78,35412.05
IND21279,"Christopher Evans",36,"Administrative Assistant IV",50651.56,278071,302540.6,567793.74,58748.81
IND98618,"Maria Clark",34,"Help Desk Operator",502309.08,1469913,1724818.3,3475948.05,571690.0800000001
IND35589,"Jimmy Simpson",52,"Geological Engineer",87019.73,273945,192711.78,341974.11,98336.23
IND40198,"Louise Sanders",78,"Junior Executive",246615.84,622182,765153.59,1655197.0099999998,281947.83999999997
IND49616,"Angela Alvarez",34,"Biostatistician IV",130023.36,366887,447804.62,971953.5299999999,145487.74
IND55475,"Henry Grant",75,"Software Test Engineer I",82703.81,842201,2098819.5,3545707.02,91339.48
IND61272,"Larry Foster",47,"Internal Auditor",137256.09,1035298,976553.21,1662427.6800000002,155579.01
IND33884,"Carol GoPKRalez",34,"Chemical Engineer",224640.75,1091959,828226.52,1550236.52,281731.47
IND53121,"Timothy Stanley",79,"Accountant III",147292.91,105267,187826.4,301358.24999999994,171590.33000000002
IND25680,"Billy Wilson",73,"Registered Nurse",263248.97,693956,1420246.29,2212035.15,310900.73
IND55454,"Kathleen Riley",80,"Cost Accountant",193690.93,50809,342138.31,776697.71,205346.47
IND96454,"Bobby Jenkins",73,"Developer IV",91243.05,122159,2137439.34,4062531.29,128993.77
IND14292,"Arthur Burns",51,"Accounting Assistant II",162807.39,709301,1667444.17,2461395.6999999997,233201.79
IND67206,"Lawrence Richardson",49,"Junior Executive",193729.94,66054,684295.05,1604371.99,238545.4
IND90177,"Julia Roberts",81,"Software Engineer I",131497.09,57220,725666.6,1486779.1300000001,147459.75
IND60970,"Philip Fisher",27,"Accountant I",319205.91,0,309361.94,822457.47,368621.91
IND24003,"Jeffrey Taylor",56,"Automation Specialist IV",44088.51,1485747,396706.92,646524.11,76507.39
IND87800,"Mark Mccoy",33,"Biostatistician I",420683.66,820480,1818216.16,3402585.16,445156.20999999996
IND75987,"Timothy Cook",79,Nurse,32062.52,231529,140280.05,426058.04999999993,51716
IND70083,"Larry Green",56,"Human Resources Manager",92487.65,560657,208470.98,397985.08,116178.15999999999
IND31444,"Edward Gordon",55,"Analyst Programmer",130572.51,120782,370436.77,858437.9099999999,180014.43
IND70450,"Edward Evans",77,"Database Administrator III",54753.75,80386,11363.75,38738.58,60064.75
IND47520,"Joseph Morrison",49,"Web Designer III",180214.79,791257,1988033,3269477.6100000003,189441.14
IND69076,"Kathy Wheeler",67,"Senior Editor",52826.78,385480,295345.61,679639.71,78987.23999999999
IND53190,"Amy Sims",66,"Health Coach III",43622.88,39047,192729.77,520011.81,63039.28
IND58356,"Sharon Warren",64,"Web Developer I",142841.26,508939,527832.84,1162606.1800000002,148246.26
IND33691,"Nicholas Gilbert",49,"Systems Administrator III",90437.66,573366,202406.32,394120.35,103175.06
IND20398,"Melissa Miller",65,"Biostatistician III",32301.47,310658,74293.47,166571.1,37898.87
IND54314,"Kevin Gomez",32,"Project Manager",293419.07,2183385,1490773.71,2407180.98,309862.32
IND74305,"Ronald Larson",29,"Software Engineer III",55011.84,479936,1209655.58,2027536.36,69218.04
IND37195,"Christine Williams",31,"Engineer III",77971.46,478158,61042.62,140608.5,85791.86
IND52609,"Angela Roberts",22,"Health Coach I",84111.51,304608,130415.95,280719.75,103051.89
IND26283,"Joshua Hughes",58,"Human Resources Assistant I",98369.29,213195,376150.25,834397.71,101419.54
IND61913,"Joshua Stephens",75,"Software Test Engineer II",243490.73,1045569,428657.45,1057969.5699999998,307363.49
IND35876,"Evelyn Ramirez",18,"Web Designer II",72431.34,1210753,205810.18,388546.81999999995,107406.5
IND19011,"Lillian Burns",47,"Sales Associate",456003.99,1248952,1050537.35,2033406.6800000002,481175.19
IND86703,"Lillian Bell",41,"Biostatistician I",71422.04,315175,38234.02,117866.97,104415.56
IND23640,"Phillip Perez",36,"Accounting Assistant III",39077.38,1187139,717787.7,1117391.0199999998,53785.06
IND93407,"Karen Morrison",84,"Dental Hygienist",274099.12,563102,0,4870.24,300150.88
IND40136,"John Cruz",26,"Developer IV",260826.75,804360,529324.3,977185.76,314294.85
IND76215,"Joseph Thomas",74,"Engineer IV",334331.81,164253,641260.15,1584591.5599999998,352923.56
IND93216,"Anthony Green",47,"Software Consultant",61398.26,360004,277273.4,694449.87,82067.2
IND54572,"Terry Hanson",82,"Software Test Engineer II",63246.3,448653,537205.52,1010389.1400000001,81822
IND18649,"Norma Perez",25,"Accountant II",158091.86,207663,177146.44,441979.47000000003,191916.3
IND51790,"Ann Bradley",44,"Software Engineer II",131729.85,863722,359436.79,728453.17,138393.91
IND17740,"Daniel Morrison",38,"Health Coach IV",116926.94,1049089,463600.46,730290.33,135358.22
IND49489,"Keith Weaver",74,"Associate Professor",148224.72,302049,73076.62,171362.81,175742.72
IND50658,"Patrick Richardson",35,"Computer Systems Analyst I",348248.56,1369216,450525.37,751406.58,413274.56
IND14798,"Beverly Griffin",74,"Health Coach I",19637.78,24331,150917.77,292858.97,29165.01
IND60926,"Virginia Greene",62,"Electrical Engineer",150304.49,523866,363305.25,820720.2999999999,157630.93
IND57710,"Antonio Ruiz",23,"Statistician I",52109.13,205552,329191.59,541487.85,66386.18
IND71795,"John Chapman",68,"Programmer Analyst III",156091.75,707578,435466.02,836160.03,176700.79
IND98220,"Ruth Bishop",79,"Human Resources Assistant II",338383.13,1565514,730384.02,1446918.3399999999,395650.18
IND91662,"Alice Chavez",29,"Assistant Professor",198553.59,414519,1144704.01,2452112.02,219405.33
IND18901,"Heather Palmer",52,"Accounting Assistant III",190119.93,527884,99616.37,253139.5,237229.97999999998
IND49888,"Louis Banks",68,"Administrative Assistant I",147956.79,701006,720211.85,1324970.5699999998,200173.31
IND76081,"Bobby Gordon",41,"Geologist IV",91071.75,677124,558283.3,1012790.4000000001,124183.29000000001
IND93705,"Randy Gardner",70,"Help Desk Operator",96545.37,1104753,1268890.97,2190788.88,119737.11
IND52847,"Eric Burke",32,"Assistant Media Planner",63765,1012373,1568405.32,2650473.9000000004,75119
IND24592,"Martin Shaw",47,"Technical Writer",191715.4,402402,269460.7,726153.1200000001,223639.12
IND31656,"Phillip Hansen",83,"Human Resources Assistant I",218312.27,1757313,1099352.83,1922260.29,239793.15
IND85060,"Randy Wheeler",24,"Software Consultant",157167.47,597245,262988.54,485755.13999999996,188665.72
IND89139,"Matthew Brown",84,"Administrative Assistant IV",101929.59,614181,445914.24,969696.88,114948.89
IND81423,"Dennis Hanson",29,Recruiter,40985.49,358194,186144.38,351554.95,60714.99
IND85541,"Alan Bennett",85,"Staff Scientist",109218.7,587929,198995.43,409812.44999999995,116039.5
IND59219,"Helen Jenkins",51,"Web Developer III",174258.52,648433,1125389.67,2191387.18,208441.03999999998
IND43444,"Katherine Myers",59,"Senior Developer",74059.23,374816,384271.05,733919.29,88761.83
IND85299,"Scott Hughes",84,"Health Coach IV",158874.14,261365,127418.48,316822.39,197668.42
IND58136,"Barbara Larson",69,"Office Assistant II",71958.9,124511,199185.62,417019.92000000004,85957.79999999999
IND35725,"Tammy Willis",17,Operator,189074.19,291505,247346.43,502418.20999999996,202332.61000000002
IND15648,"Aaron Williams",78,"Software Engineer III",74408.69,24949,188138.63,479800.34,103098.31
IND48116,"Lawrence Gibson",25,"Dental Hygienist",447928.06,841125,611852.17,1325538.5999999999,490816.87
IND28531,"Ronald Burns",61,"Web Designer I",309939.21,1198038,1457194.61,2339111.17,361242.81
